S.No.,name,datetime,Daypart,DayType,Items
1,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
2,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
3,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
4,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
5,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
6,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
7,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
8,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
9,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
10,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
11,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
12,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
13,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
14,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
15,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
16,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
17,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
18,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
19,"Edinburgh,United Kingdom",1/11/2016,Morning,Weekday,Cappuccino
20,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
21,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
22,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
23,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
24,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
25,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
26,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
27,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
28,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
29,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
30,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
31,"Edinburgh,United Kingdom",1/11/2016,Afternoon,Weekday,Cappuccino
